"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMEM43",5.63546840201353e-21,0.728910342312687,0.47,0.239,1.37398355109492e-16,"0","TMEM43"
"C6orf141",5.80902548268523e-21,1.235770281071,0.285,0.115,1.41629850293349e-16,"0","C6orf141"
"GTF2H2",5.89855146802117e-21,0.947050533083806,0.307,0.128,1.43812583341824e-16,"0","GTF2H2"
"TMCO1",6.00454876481024e-21,0.522047204473076,0.88,0.616,1.46396903434838e-16,"0","TMCO1"
"PKIG",6.024923000918e-21,0.636287007237179,0.47,0.233,1.46893647685382e-16,"0","PKIG"
"PPAN",6.29177415894123e-21,0.620461672022128,0.428,0.205,1.53399745769146e-16,"0","PPAN"
"ZNF211",6.54227222265319e-21,0.943991605584327,0.281,0.109,1.59507139060507e-16,"0","ZNF211"
"GLO1",6.96650174327258e-21,0.521929127557046,0.808,0.528,1.69850279002729e-16,"0","GLO1"
"B3GALT6",7.11284732560855e-21,0.646023582957065,0.474,0.237,1.73418330645662e-16,"0","B3GALT6"
"CEND1",7.47011222989064e-21,0.875680492805863,0.379,0.174,1.82128806276964e-16,"0","CEND1"
"CCDC107",7.5711137129369e-21,0.512374780372476,0.808,0.522,1.84591323435114e-16,"0","CCDC107"
"DDR2",7.79261066619236e-21,0.575809590167701,0.405,0.185,1.89991640652436e-16,"0","DDR2"
"APOO",8.39778014367821e-21,0.815618816863667,0.403,0.19,2.04746277683018e-16,"0","APOO"
"TRPS1",8.60941972778804e-21,0.617374067669774,0.55,0.292,2.099062623832e-16,"0","TRPS1"
"MZT2A",8.77786672522422e-21,0.452148324815519,0.724,0.429,2.14013168627692e-16,"0","MZT2A"
"HMGN4",9.03222097990514e-21,0.599593833480423,0.637,0.359,2.20214579711067e-16,"0","HMGN4"
"CLEC11A",9.05580025454342e-21,0.465980493287258,0.512,0.268,2.20789466006023e-16,"0","CLEC11A"
"DCTPP1",9.09498696653534e-21,0.581912575954141,0.517,0.267,2.21744877231098e-16,"0","DCTPP1"
"MCUR1",9.12038279025968e-21,0.53098091714858,0.626,0.349,2.22364052809321e-16,"0","MCUR1"
"SLC35A1",9.35345087877384e-21,0.771026183769418,0.394,0.186,2.28046485875385e-16,"0","SLC35A1"
"IGFBP6",9.75324310446403e-21,0.443413206405563,0.336,0.147,2.37793820129938e-16,"0","IGFBP6"
"C19orf25",1.10392410820768e-20,0.537064285730993,0.688,0.412,2.69147736822116e-16,"0","C19orf25"
"MPC1",1.12861674994511e-20,0.503742786603756,0.927,0.639,2.75168049804118e-16,"0","MPC1"
"ARHGAP35",1.14114994254127e-20,0.659865826923295,0.37,0.164,2.78223767490988e-16,"0","ARHGAP35"
"RPAP2",1.21239169584222e-20,0.734670880977533,0.388,0.179,2.95593219363292e-16,"0","RPAP2"
"MRPS21",1.22310105340608e-20,0.483020394346742,0.793,0.52,2.98204267830936e-16,"0","MRPS21"
"PMS2",1.29228433085142e-20,0.747110273535939,0.385,0.178,3.15071842704884e-16,"0","PMS2"
"TMTC3",1.31078677207179e-20,0.968724103732301,0.303,0.126,3.19582922898822e-16,"0","TMTC3"
"ZNF260",1.36766891206935e-20,0.731285103344635,0.325,0.135,3.33451357451629e-16,"0","ZNF260"
"IFITM10",1.36901800246233e-20,1.00074083046175,0.294,0.121,3.33780279180342e-16,"0","IFITM10"
"UBA2",1.38252798265206e-20,0.498168092942704,0.768,0.482,3.37074147450398e-16,"0","UBA2"
"KIF3C",1.42556714883463e-20,1.01523485494726,0.298,0.124,3.4756752655737e-16,"0","KIF3C"
"COA5",1.54837945119476e-20,0.660726242235779,0.563,0.313,3.77510393995794e-16,"0","COA5"
"MACROD1",1.60839322311832e-20,0.891251244823647,0.292,0.117,3.92142351728479e-16,"0","MACROD1"
"MTRES1",1.9022695532973e-20,0.68962541823811,0.361,0.162,4.63792339789415e-16,"0","MTRES1"
"SMAD5",1.9459693625135e-20,0.586858299411344,0.535,0.285,4.74446790274416e-16,"0","SMAD5"
"TAB2",1.96152995049406e-20,0.691776135714073,0.481,0.25,4.78240617229958e-16,"0","TAB2"
"SLC9A3R2",1.96228803581502e-20,0.510853095625061,0.361,0.161,4.78425446012061e-16,"0","SLC9A3R2"
"ZNF528-AS1",1.97623029202667e-20,0.953384300980933,0.283,0.114,4.81824707499022e-16,"0","ZNF528-AS1"
"PRKCA",1.99838018299819e-20,0.613282680975066,0.497,0.258,4.87225072416789e-16,"0","PRKCA"
"C2orf76",2.02808644860404e-20,0.875354632353068,0.408,0.2,4.94467757034151e-16,"0","C2orf76"
"C1QBP",2.08511237047841e-20,0.471925445043911,0.837,0.599,5.0837124704634e-16,"0","C1QBP"
"ATP5PB",2.11857698662025e-20,0.5116948603278,0.84,0.582,5.16530255107884e-16,"0","ATP5PB"
"DTX3",2.18895282225869e-20,0.679427956362812,0.428,0.206,5.33688587594892e-16,"0","DTX3"
"PSMG3",2.24503348261462e-20,0.588485801366784,0.568,0.315,5.47361613396269e-16,"0","PSMG3"
"ARHGEF10L",2.29043344755371e-20,1.13579368375596,0.287,0.119,5.58430578848069e-16,"0","ARHGEF10L"
"SOCS3",2.40876742388757e-20,0.514408292761975,0.882,0.713,5.87281585618028e-16,"0","SOCS3"
"ZNF181",2.50993440548576e-20,0.931401063456099,0.283,0.113,6.11947107401483e-16,"0","ZNF181"
"TMEM263",2.65698726447275e-20,0.439926509602822,0.548,0.285,6.47800064951102e-16,"0","TMEM263"
"SPRY2",2.85953867548114e-20,0.58908103835164,0.595,0.341,6.97184124469057e-16,"0","SPRY2"
"EHBP1",3.0082466259725e-20,0.761365598185815,0.403,0.192,7.33440609878354e-16,"0","EHBP1"
"SPOP",3.13971753345783e-20,0.595674228679912,0.546,0.296,7.65494531832353e-16,"0","SPOP"
"NEK1",3.21274838829632e-20,0.949255081429714,0.316,0.135,7.83300184550527e-16,"0","NEK1"
"TADA3",3.31769584820617e-20,0.632614156588818,0.659,0.394,8.08887424751146e-16,"0","TADA3"
"FSTL3",3.38774358095299e-20,0.673759840663963,0.316,0.133,8.25965762472149e-16,"0","FSTL3"
"CFAP97",3.39828535155519e-20,0.478580618958825,0.657,0.378,8.28535951562672e-16,"0","CFAP97"
"TXN2",3.41199884644788e-20,0.506707078670717,0.759,0.486,8.31879438752458e-16,"0","TXN2"
"ANAPC13",3.58790508540928e-20,0.655118740841412,0.568,0.313,8.74767138873638e-16,"0","ANAPC13"
"TMEM267",3.64623445112832e-20,1.08673410622663,0.285,0.117,8.88988421529595e-16,"0","TMEM267"
"MTERF2",3.75322971115584e-20,0.948001026638598,0.314,0.135,9.15074935876906e-16,"0","MTERF2"
"RGL2",3.89404826340965e-20,0.621948792503432,0.468,0.237,9.49407907101908e-16,"0","RGL2"
"ZMPSTE24",4.16814266439903e-20,0.645936549465573,0.51,0.267,1.01623486300713e-15,"0","ZMPSTE24"
"KEAP1",4.19202607779784e-20,0.575289489445226,0.619,0.352,1.02205787802789e-15,"0","KEAP1"
"PDLIM2",4.19810566386035e-20,0.558262921764945,0.657,0.376,1.02354014190579e-15,"0","PDLIM2"
"FAM32A",4.28496757438468e-20,0.523651545822091,0.731,0.448,1.04471794431073e-15,"0","FAM32A"
"SDHC",4.51102127329599e-20,0.533895114248089,0.726,0.441,1.0998320966423e-15,"0","SDHC"
"CYB5R3",5.03762529813973e-20,0.547178538211325,0.764,0.508,1.22822342393945e-15,"0","CYB5R3"
"GAR1",5.18761859267378e-20,0.591354276755181,0.483,0.249,1.26479328907979e-15,"0","GAR1"
"LMAN2L",5.2818317936202e-20,1.23392019500476,0.303,0.133,1.28776340960254e-15,"0","LMAN2L"
"MRPL12",5.57954681789955e-20,0.549901777283323,0.63,0.371,1.36034930967209e-15,"0","MRPL12"
"POLDIP2",6.02696276495581e-20,0.690256380155656,0.55,0.305,1.46943379172388e-15,"0","POLDIP2"
"ATP5MC1",6.12624223283405e-20,0.489858823955335,0.875,0.62,1.49363911878727e-15,"0","ATP5MC1"
"WDR61",6.3035656992884e-20,0.665998095123647,0.595,0.331,1.5368723531435e-15,"0","WDR61"
"SLC6A8",6.55949010329698e-20,0.353588996052226,0.713,0.431,1.59926928208484e-15,"0","SLC6A8"
"STBD1",6.60463652275689e-20,0.919441150293277,0.276,0.111,1.61027643061336e-15,"0","STBD1"
"RBFOX2",6.82620422354211e-20,0.766844759900966,0.374,0.174,1.6642968517418e-15,"0","RBFOX2"
"PARK7",7.35822389414907e-20,0.375450608168416,0.953,0.787,1.79400856763248e-15,"0","PARK7"
"RAD51D",7.38949559184651e-20,0.909378646460525,0.287,0.115,1.8016329202481e-15,"0","RAD51D"
"PDCD6",7.4147884661829e-20,0.489659438615319,0.875,0.597,1.80779957594005e-15,"0","PDCD6"
"EMC2",7.54302462737317e-20,0.490190068511549,0.722,0.435,1.83906483439985e-15,"0","EMC2"
"RAB10",8.11191017129242e-20,0.511288009084881,0.886,0.653,1.9777648188628e-15,"0","RAB10"
"ZNF117",8.27526834640711e-20,0.852256546441481,0.278,0.112,2.01759317553752e-15,"0","ZNF117"
"NUP42",8.46932573171309e-20,0.674998797750419,0.488,0.258,2.06490630664897e-15,"0","NUP42"
"LAMA4",8.64758403587389e-20,0.630771590172867,0.294,0.12,2.10836746378641e-15,"0","LAMA4"
"SNHG14",8.6710370013432e-20,0.663861465664368,0.57,0.339,2.11408553129749e-15,"0","SNHG14"
"LRCH3",8.82279984577552e-20,1.06518801134423,0.356,0.165,2.15108683039853e-15,"0","LRCH3"
"RGN",9.04973240825751e-20,0.705144137484947,0.381,0.177,2.20641525845726e-15,"0","RGN"
"PDGFRA",9.24236422718102e-20,0.994156353200264,0.254,0.097,2.25338082222901e-15,"0","PDGFRA"
"EMC8",9.35432744578199e-20,0.670939730341697,0.519,0.275,2.28067857455611e-15,"0","EMC8"
"ATAT1",9.41284856373189e-20,0.749859819873142,0.396,0.187,2.29494660832347e-15,"0","ATAT1"
"SMIM8",9.53279906845106e-20,0.90809734816369,0.312,0.133,2.32419174087905e-15,"0","SMIM8"
"SLC18B1",9.751388658867e-20,0.91293633266974,0.272,0.107,2.37748606891836e-15,"0","SLC18B1"
"LIMK1",9.90783518632365e-20,0.940140420917616,0.316,0.137,2.41562929677757e-15,"0","LIMK1"
"IQCK",1.08101960649062e-19,0.827618348039492,0.323,0.143,2.63563390258479e-15,"0","IQCK"
"PRUNE2",1.09968161155343e-19,0.383018204291191,0.739,0.428,2.68113373712842e-15,"0","PRUNE2"
"ZDHHC4",1.11118340904675e-19,0.68854180494699,0.568,0.323,2.70917626959689e-15,"0","ZDHHC4"
"MRPL2",1.12129662565946e-19,0.603384075417668,0.506,0.264,2.73383330302034e-15,"0","MRPL2"
"POMGNT1",1.19626334008456e-19,0.577873496179269,0.51,0.259,2.91660964946015e-15,"0","POMGNT1"
"ADD1",1.20603062042451e-19,0.426959289353621,0.724,0.43,2.94042325565699e-15,"0","ADD1"
"GABBR1",1.26180634676746e-19,0.96751565606569,0.263,0.104,3.07641005405374e-15,"0","GABBR1"
"BAIAP2",1.2664554780355e-19,0.643141976710307,0.448,0.224,3.08774510099835e-15,"0","BAIAP2"
"PTRH1",1.32049999866994e-19,0.799031503550979,0.367,0.17,3.21951104675718e-15,"0","PTRH1"
"C14orf132",1.32576363664053e-19,0.702080074812671,0.416,0.201,3.23234432249327e-15,"0","C14orf132"
"FBXL5",1.38351941997384e-19,0.590265638853487,0.546,0.294,3.37315869783821e-15,"0","FBXL5"
"TUBG2",1.41740199450177e-19,0.836513170276173,0.374,0.178,3.45576780279476e-15,"0","TUBG2"
"PRKCI",1.48275809915267e-19,0.855866848089575,0.374,0.177,3.61511252154413e-15,"0","PRKCI"
"PSMA2",1.49838163736809e-19,0.395924168953428,0.947,0.738,3.65320427006714e-15,"0","PSMA2"
"SELENOF",1.53370424637288e-19,0.455858842074675,0.911,0.689,3.73932432308172e-15,"0","SELENOF"
"COX6B1",1.54164189691406e-19,0.352845930204709,0.964,0.838,3.75867710886617e-15,"0","COX6B1"
"CMTR2",1.57514805430653e-19,0.636246856216084,0.396,0.187,3.84036847120476e-15,"0","CMTR2"
"CDK4",1.67706239941647e-19,0.456626270392636,0.686,0.4,4.0888458360173e-15,"0","CDK4"
"ANAPC7",1.81730058982577e-19,0.555592730431826,0.345,0.154,4.43076056805421e-15,"0","ANAPC7"
"PLPP3",1.83079257128882e-19,0.669312629688814,0.517,0.274,4.46365536805928e-15,"0","PLPP3"
"MRPL19",1.84890778109957e-19,0.600210390785625,0.615,0.359,4.50782206109887e-15,"0","MRPL19"
"MT-ND2",1.87497318782784e-19,0.352033425753802,0.98,0.926,4.57137212924306e-15,"0","MT-ND2"
"TRIM37",2.09304426307977e-19,0.727230793215877,0.347,0.157,5.10305121781478e-15,"0","TRIM37"
"POLI",2.09473319029593e-19,0.756379346435613,0.363,0.17,5.10716899126051e-15,"0","POLI"
"AGGF1",2.3096984370407e-19,0.734795730799588,0.512,0.275,5.63127575934894e-15,"0","AGGF1"
"HS3ST1",2.35192696450944e-19,0.806349728739425,0.252,0.096,5.73423313217046e-15,"0","HS3ST1"
"ROCK2",2.41053544602686e-19,0.583295943614685,0.617,0.352,5.87712647095808e-15,"0","ROCK2"
"TRIM24",2.56967264860215e-19,0.567397919993408,0.463,0.237,6.26511888455691e-15,"0","TRIM24"
"TTC5",2.57011130721498e-19,0.834669532879986,0.265,0.106,6.26618837812085e-15,"0","TTC5"
"RCC1L",2.68760550860262e-19,0.737068683511069,0.461,0.241,6.55265099052405e-15,"0","RCC1L"
"GTF2H3",2.68999435871927e-19,0.783502936279879,0.383,0.185,6.55847524599345e-15,"0","GTF2H3"
"AC010642.2",2.8637425756484e-19,0.492788982186843,0.635,0.367,6.98209077368836e-15,"0","AC010642.2"
"GALNT11",2.91340105660643e-19,0.761233556076581,0.428,0.217,7.10316311611213e-15,"0","GALNT11"
"TWSG1",2.93025294922546e-19,0.488280166970692,0.546,0.291,7.14424971550659e-15,"0","TWSG1"
"RFNG",2.93182794014555e-19,0.536259452997333,0.575,0.325,7.14808970086887e-15,"0","RFNG"
"SPECC1",3.10935364779271e-19,0.523093647421969,0.59,0.325,7.58091512868341e-15,"0","SPECC1"
"AP1M1",3.16578393308566e-19,0.599780993878836,0.492,0.259,7.71849780725614e-15,"0","AP1M1"
"SPCS1",3.5398522591075e-19,0.374601509020835,0.947,0.743,8.63051379292998e-15,"0","SPCS1"
"CAPRIN1",3.567774807799e-19,0.588386133076745,0.646,0.386,8.69859175889475e-15,"0","CAPRIN1"
"SCD5",3.74643834318276e-19,0.279881225733848,0.808,0.494,9.13419132451389e-15,"0","SCD5"
"WDR18",3.94307250589127e-19,0.700145161654166,0.448,0.232,9.6136050766135e-15,"0","WDR18"
"DNAL4",4.323463649727e-19,0.979009475691599,0.254,0.1,1.05410367243994e-14,"0","DNAL4"
"TTC8",4.35345111243269e-19,1.1607158177071,0.254,0.101,1.06141491572221e-14,"0","TTC8"
"COX16",4.46690253923654e-19,0.409529774602507,0.811,0.537,1.08907550809126e-14,"0","COX16"
"SLC4A7",4.49256744580209e-19,0.664852436205017,0.506,0.278,1.09533286896101e-14,"0","SLC4A7"
"TRIM36",4.5361523510698e-19,0.836200128521547,0.256,0.099,1.10595930471433e-14,"0","TRIM36"
"TXNDC17",4.64455120591735e-19,0.482672019820517,0.782,0.516,1.13238802951471e-14,"0","TXNDC17"
"TBCA",4.82308851761448e-19,0.367862644029792,0.958,0.751,1.17591721147959e-14,"0","TBCA"
"NDUFB3",5.27511006094791e-19,0.530711816768188,0.808,0.533,1.28612458395971e-14,"0","NDUFB3"
"MRPL34",5.48010290928483e-19,0.513660209830371,0.693,0.432,1.33610389031274e-14,"0","MRPL34"
"SLC7A11",5.55032373334272e-19,0.753505699449121,0.312,0.137,1.35322442942629e-14,"0","SLC7A11"
"TMEM38A",5.79905203930557e-19,0.792417091791425,0.254,0.098,1.41386687770309e-14,"0","TMEM38A"
"ENOPH1",5.93998432345055e-19,0.472788055983146,0.817,0.546,1.44822757790048e-14,"0","ENOPH1"
"PGAP1",6.43470910151302e-19,0.347168694132223,0.457,0.226,1.56884642603989e-14,"0","PGAP1"
"FARSA",6.46599190561904e-19,0.596467493811126,0.548,0.304,1.57647348650898e-14,"0","FARSA"
"AARSD1",6.96389924508025e-19,0.604401580448884,0.43,0.215,1.69786827494302e-14,"0","AARSD1"
"COQ9",7.25229827552791e-19,0.602346454203904,0.457,0.235,1.76818284255646e-14,"0","COQ9"
"ACYP2",7.33100433107568e-19,0.459089695927419,0.653,0.381,1.78737216595956e-14,"0","ACYP2"
"DDX41",7.69237027223898e-19,0.507556215919004,0.459,0.235,1.87547679607459e-14,"0","DDX41"
"BTBD6",7.94912928883482e-19,0.703246514885069,0.341,0.156,1.93807721191082e-14,"0","BTBD6"
"AL162231.1",8.41726339184104e-19,1.04532556483884,0.272,0.112,2.05221298756477e-14,"0","AL162231.1"
"RIMKLB",8.4934348352147e-19,0.761247779021413,0.325,0.145,2.0707843471737e-14,"0","RIMKLB"
"WDR1",8.88397830190354e-19,0.500439595809631,0.829,0.549,2.1660027497871e-14,"0","WDR1"
"DPF1",9.5797330794814e-19,0.49777924962831,0.316,0.135,2.33563472210836e-14,"0","DPF1"
"HAT1",9.60914640307106e-19,0.471173699891605,0.668,0.398,2.34280598453275e-14,"0","HAT1"
"TNKS1BP1",1.00577607685596e-18,1.10890105920373,0.274,0.115,2.45218265298252e-14,"0","TNKS1BP1"
"LAMTOR3",1.10923288746579e-18,0.494194425814536,0.639,0.368,2.70442070293033e-14,"0","LAMTOR3"
"GOLGA8B",1.11686286732442e-18,0.941080512759696,0.267,0.111,2.72302335682367e-14,"0","GOLGA8B"
"DYNC2H1",1.11956859560493e-18,0.973715927422103,0.294,0.126,2.72962019294438e-14,"0","DYNC2H1"
"SCAMP1",1.15919387970718e-18,0.541999487605675,0.557,0.308,2.82623059811408e-14,"0","SCAMP1"
"RANGRF",1.23127718757061e-18,0.829896790979911,0.283,0.119,3.0019769110159e-14,"0","RANGRF"
"TRMT61B",1.26023095846982e-18,0.730045176015059,0.343,0.158,3.07256909984527e-14,"0","TRMT61B"
"PHKB",1.27089254596757e-18,0.546678733669785,0.477,0.251,3.09856311632354e-14,"0","PHKB"
"SLITRK2",1.30758808915622e-18,0.874152982692803,0.298,0.126,3.18803052017179e-14,"0","SLITRK2"
"CCDC47",1.31521459753689e-18,0.451162531954333,0.811,0.56,3.2066247102547e-14,"0","CCDC47"
"DEGS1",1.43761249002966e-18,0.466685110090514,0.857,0.608,3.50504301194131e-14,"0","DEGS1"
"CARHSP1",1.48157005770504e-18,0.451644190326876,0.748,0.479,3.61221595769065e-14,"0","CARHSP1"
"PUF60",1.50127889368686e-18,0.447026139354205,0.884,0.618,3.66026807069793e-14,"0","PUF60"
"ITSN1",1.59806303463102e-18,0.830328077599988,0.339,0.156,3.89623748473388e-14,"0","ITSN1"
"NAA38",1.61947045937191e-18,0.514975914415798,0.788,0.545,3.94843092699465e-14,"0","NAA38"
"LRRC4C",1.76989177458296e-18,0.614164798745837,0.394,0.186,4.3151731356107e-14,"0","LRRC4C"
"MTCH2",1.80919017562321e-18,0.475018360769971,0.708,0.449,4.41098656718695e-14,"0","MTCH2"
"TIMM8B",1.93390391457075e-18,0.43328163458683,0.762,0.499,4.71505113411495e-14,"0","TIMM8B"
"METTL3",1.95647821360857e-18,0.605176251333088,0.352,0.159,4.77008953259906e-14,"0","METTL3"
"TSTA3",1.9635913742428e-18,0.569479012796532,0.468,0.247,4.78743212954136e-14,"0","TSTA3"
"GART",1.98004780043064e-18,0.650097940905702,0.332,0.149,4.82755454222994e-14,"0","GART"
"TNFAIP1",2.0828338917362e-18,0.873642164238839,0.318,0.145,5.07815731144204e-14,"0","TNFAIP1"
"KANK1",2.13808084222936e-18,0.72062142824425,0.339,0.153,5.21285490143941e-14,"0","KANK1"
"NETO2",2.16132709432392e-18,0.603635109540575,0.307,0.133,5.26953158867116e-14,"0","NETO2"
"UBE2V2",2.22976106246448e-18,0.457947382657896,0.793,0.499,5.43638044639465e-14,"0","UBE2V2"
"DCTN3",2.35155159522855e-18,0.449230032490726,0.864,0.62,5.73331794432672e-14,"0","DCTN3"
"AL391807.1",2.38482329783414e-18,0.75015343280641,0.316,0.137,5.81443768244943e-14,"0","AL391807.1"
"HMG20B",2.48066158200907e-18,0.50705968204057,0.657,0.406,6.04810100309632e-14,"0","HMG20B"
"PIGC",2.5363410894003e-18,0.673895260269652,0.405,0.204,6.18385321006688e-14,"0","PIGC"
"SNRPD2",2.61118576464118e-18,0.414638844422592,0.869,0.618,6.36633201277166e-14,"0","SNRPD2"
"GEM",2.65332153962788e-18,0.394176506570276,0.57,0.321,6.46906324576673e-14,"0","GEM"
"ZNF875",2.70568076436125e-18,1.01430676349226,0.274,0.114,6.59672027158917e-14,"0","ZNF875"
"MCCC2",2.76090496737674e-18,0.887959190643781,0.332,0.154,6.73136240096122e-14,"0","MCCC2"
"IMPDH1",2.78552766822677e-18,0.805533937604715,0.318,0.143,6.79139500790368e-14,"0","IMPDH1"
"QSER1",2.91800821411246e-18,0.463362243831132,0.372,0.174,7.11439582682758e-14,"0","QSER1"
"FAM98C",2.94872199314397e-18,0.556032154468548,0.392,0.191,7.18927909148431e-14,"0","FAM98C"
"EIF3B",2.97074794074467e-18,0.449100281059348,0.737,0.45,7.24298055432959e-14,"0","EIF3B"
"PET100",2.99322889534019e-18,0.508869827099701,0.759,0.5,7.29779136972891e-14,"0","PET100"
"MRPL50",3.01477623215e-18,0.3967247429292,0.661,0.387,7.35032593160492e-14,"0","MRPL50"
"PEX3",3.01720877856247e-18,0.761750117054634,0.33,0.151,7.35625672301315e-14,"0","PEX3"
"SNHG7",3.02077936855373e-18,0.4648528014364,0.829,0.587,7.36496217847086e-14,"0","SNHG7"
"FOSL2",3.15024524241396e-18,0.460307151075189,0.677,0.41,7.68061292552947e-14,"0","FOSL2"
"NCAM2",3.24334807996291e-18,0.590356944484578,0.419,0.208,7.90760695375757e-14,"0","NCAM2"
"NDUFC1",3.34780778792647e-18,0.442953607200861,0.784,0.501,8.16229016774353e-14,"0","NDUFC1"
"FAM136A",3.50123183230443e-18,0.523948635130075,0.425,0.217,8.53635333034143e-14,"0","FAM136A"
"ARHGEF40",3.54154836579923e-18,0.809629665056725,0.305,0.133,8.63464907065511e-14,"0","ARHGEF40"
"CCNL2",3.67124693926514e-18,0.462333242932676,0.668,0.394,8.95086716262233e-14,"0","CCNL2"
"FAM160A2",3.72118582066467e-18,0.665337670456676,0.294,0.125,9.07262314936253e-14,"0","FAM160A2"
"AKT1",3.82578113598338e-18,0.523009967728419,0.626,0.378,9.32763698764108e-14,"0","AKT1"
"MPLKIP",3.89074977112337e-18,0.41934027136863,0.719,0.434,9.48603701697588e-14,"0","MPLKIP"
"ARL4C",3.95724414646883e-18,0.448348412317262,0.864,0.583,9.64815695350565e-14,"0","ARL4C"
"WDR77",3.96713078756107e-18,0.819990869871665,0.278,0.118,9.67226157315264e-14,"0","WDR77"
"UNK",3.97949514664126e-18,0.801567030039266,0.305,0.134,9.70240711702606e-14,"0","UNK"
"CDIP1",4.02252164020388e-18,0.680381866441767,0.448,0.231,9.80731001098107e-14,"0","CDIP1"
"C18orf21",4.09931269858725e-18,0.749333543375178,0.294,0.127,9.99453429042558e-14,"0","C18orf21"
"TLE1",4.14542477054468e-18,0.483762454499928,0.454,0.237,1.0106960133065e-13,"0","TLE1"
"ALG14",4.92313239385395e-18,0.959266294739038,0.383,0.194,1.20030890894553e-13,"0","ALG14"
"ATP5MC3",5.01872264517715e-18,0.349824569195232,0.969,0.793,1.22361476812064e-13,"0","ATP5MC3"
"ZNF577",5.08949335339365e-18,0.939361772923492,0.278,0.118,1.24086937449091e-13,"0","ZNF577"
"SUCLG2",5.18723367805677e-18,0.674384200646176,0.445,0.235,1.26469944304702e-13,"0","SUCLG2"
"RPL26L1",5.18962978579575e-18,0.549163947094434,0.608,0.364,1.26528363807486e-13,"0","RPL26L1"
"MFF",5.27066629383888e-18,0.488799528433968,0.762,0.507,1.28504114910086e-13,"0","MFF"
"DUSP12",5.91228050290681e-18,0.479266031742967,0.506,0.272,1.44147310941371e-13,"0","DUSP12"
"FAM171B",6.04457652317887e-18,0.583371556496753,0.479,0.251,1.47372820211624e-13,"0","FAM171B"
"AIMP2",6.04872149826717e-18,0.876959020228711,0.379,0.189,1.47473878849252e-13,"0","AIMP2"
"MLLT1",6.0621747055113e-18,0.755074976936083,0.388,0.19,1.47801881495071e-13,"0","MLLT1"
"IER5L",6.14965395336729e-18,0.31922916946168,0.846,0.622,1.49934713037048e-13,"0","IER5L"
"PIP4P2",6.23678177068655e-18,0.581073562676902,0.588,0.345,1.52058976351109e-13,"0","PIP4P2"
"PRCC",6.43341246111846e-18,0.617859841179544,0.517,0.283,1.56853029214529e-13,"0","PRCC"
"SLC39A14",6.48819469167947e-18,0.523498424591837,0.376,0.18,1.58188674777837e-13,"0","SLC39A14"
"SLC25A25",6.77087672026e-18,0.897787453345899,0.332,0.155,1.65080745316659e-13,"0","SLC25A25"
"GSPT2",6.83916906816933e-18,0.823519158323683,0.261,0.107,1.66745781051036e-13,"0","GSPT2"
"MTX3",7.12886476043591e-18,0.901397096704568,0.274,0.115,1.73808851724188e-13,"0","MTX3"
"YTHDF1",7.17472624194485e-18,0.463324194910826,0.539,0.293,1.74927000504857e-13,"0","YTHDF1"
"GNPTG",7.2360401024544e-18,0.519506054837375,0.566,0.32,1.76421893737941e-13,"0","GNPTG"
"PEBP1",7.45696188489485e-18,0.284917601943566,0.989,0.812,1.81808187715621e-13,"0","PEBP1"
"MAP2K2",7.52019129152347e-18,0.415464897588102,0.898,0.655,1.83349783878634e-13,"0","MAP2K2"
"TTC14",7.55843426329467e-18,0.52501230778814,0.559,0.325,1.84282185773387e-13,"0","TTC14"
"OXR1",7.59311212465836e-18,0.518718527726011,0.537,0.301,1.85127666711295e-13,"0","OXR1"
"IVD",7.64792260345214e-18,0.674164207222649,0.403,0.2,1.86464000994767e-13,"0","IVD"
"AC005562.1",7.65099151716068e-18,0.563696890230523,0.347,0.161,1.86538824179894e-13,"0","AC005562.1"
"ALKBH2",7.68035461397855e-18,0.67101822136219,0.392,0.189,1.87254725843411e-13,"0","ALKBH2"
"PTPRN2",7.73089461185702e-18,0.596558406432613,0.321,0.145,1.88486941531686e-13,"0","PTPRN2"
"NAXE",7.9402047528052e-18,0.533089618751627,0.65,0.402,1.93590132078144e-13,"0","NAXE"
"TM9SF4",7.94886885872694e-18,0.639696124845422,0.325,0.146,1.93801371644622e-13,"0","TM9SF4"
"ZNF226",7.99330645305987e-18,0.60100674819566,0.506,0.277,1.94884804632053e-13,"0","ZNF226"
"GSTP1",8.06790969294159e-18,0.320670920725814,0.98,0.847,1.96703706223609e-13,"0","GSTP1"
"CPLANE1",9.92387781066337e-18,0.777655565601845,0.321,0.145,2.41954064901784e-13,"0","CPLANE1"
"IMPDH2",9.95196956717394e-18,0.433994100932091,0.661,0.386,2.42638970017268e-13,"0","IMPDH2"
"VBP1",1.02077568525134e-17,0.376207323732518,0.835,0.571,2.48875319821129e-13,"0","VBP1"
"SNX5",1.05192565792277e-17,0.570815470818584,0.592,0.351,2.5646999465815e-13,"0","SNX5"
"SLC40A1",1.06395030795167e-17,0.602104730146708,0.339,0.155,2.59401724581696e-13,"0","SLC40A1"
"PWP1",1.08455960173931e-17,0.474970659050566,0.517,0.284,2.64426476500061e-13,"0","PWP1"
"PIN1",1.09645242274478e-17,0.384012987993066,0.864,0.594,2.67326065189405e-13,"0","PIN1"
"PEA15",1.10126776759776e-17,0.385232092744541,0.889,0.65,2.68500094418009e-13,"0","PEA15"
