"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS182",9.86540838920461e-19,0.317001960892636,1,0.987,2.40528521937198e-14,"7","RPS18"
"ABR1",1.15602752886141e-18,1.5191408493555,0.353,0.14,2.81851071811701e-14,"7","ABR"
"LACTB1",1.19561506000341e-18,1.11954110904799,0.45,0.2,2.91502907779432e-14,"7","LACTB"
"THBS1",1.20974377615978e-18,2.4967696587929,0.436,0.214,2.94947630065516e-14,"7","THBS1"
"H2AFJ3",1.47653634801005e-18,0.910661117201285,0.651,0.361,3.5999432700833e-14,"7","H2AFJ"
"DNAJB61",1.49039813340381e-18,0.633714579394055,0.945,0.867,3.63373968905184e-14,"7","DNAJB6"
"HSD17B112",1.54280961135272e-18,1.10130791191196,0.564,0.306,3.76152411343906e-14,"7","HSD17B11"
"CELF2",2.41470718672907e-18,1.13055285236321,0.528,0.274,5.88729759196415e-14,"7","CELF2"
"APLP22",2.90377848132103e-18,0.776945391209003,0.862,0.655,7.07970231530879e-14,"7","APLP2"
"RPL172",6.14085128521435e-18,0.328740386111311,0.995,0.962,1.49720095184811e-13,"7","RPL17"
"FUCA1",6.1636989673194e-18,1.55742656707538,0.367,0.152,1.50277144522214e-13,"7","FUCA1"
"RPL191",6.17106087354646e-18,0.306008550533255,1,0.988,1.50456635157936e-13,"7","RPL19"
"SPHK11",6.5498557056651e-18,1.19091367776694,0.372,0.149,1.59692031959821e-13,"7","SPHK1"
"AVPI11",8.87546437644936e-18,1.61266341799823,0.344,0.13,2.16392696962212e-13,"7","AVPI1"
"RPL282",9.32261095342053e-18,0.263767510223317,0.995,0.993,2.27294577655346e-13,"7","RPL28"
"RPS132",1.04808733334527e-17,0.337063055972917,0.995,0.971,2.55534172742911e-13,"7","RPS13"
"PHLDA21",1.48064460655291e-17,0.687478747936216,0.321,0.112,3.60995961523665e-13,"7","PHLDA2"
"SLC8A11",1.4980686200281e-17,1.38404136156531,0.349,0.139,3.65244110249052e-13,"7","SLC8A1"
